Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2022,Stevens,WA,Passenger,89,56,145,29977,30122,0.48
August 31 2020,Travis,TX,Passenger,3,1,4,177,181,2.21
August 31 2020,Polk,FL,Passenger,1,0,1,66,67,1.49
October 31 2017,Juneau,AK,Passenger,0,1,1,43,44,2.27
November 30 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
June 30 2023,Island,WA,Truck,32,0,32,21042,21074,0.15
November 30 2019,Cowlitz,WA,Passenger,114,106,220,73586,73806,0.30
November 30 2018,Island,WA,Passenger,266,225,491,63087,63578,0.77
March 31 2023,Ferry,WA,Truck,0,0,0,3573,3573,0.00
October 31 2020,Wahkiakum,WA,Passenger,6,6,12,3034,3046,0.39
August 31 2021,Carroll,NH,Passenger,0,1,1,5,6,16.67
June 30 2018,Skamania,WA,Truck,0,0,0,3947,3947,0.00
February 28 2019,Kootenai,ID,Passenger,1,1,2,210,212,0.94
August 31 2021,Whatcom,WA,Truck,4,0,4,43854,43858,0.01
November 30 2021,Wahkiakum,WA,Truck,0,0,0,1816,1816,0.00
May 31 2021,Cumberland,NC,Passenger,0,2,2,440,442,0.45
March 31 2023,El Paso,TX,Passenger,3,0,3,297,300,1.00
August 31 2020,Adams,WA,Truck,0,0,0,5303,5303,0.00
November 30 2019,Tulsa,OK,Passenger,1,1,2,50,52,3.85
November 30 2020,Henrico,VA,Passenger,0,1,1,17,18,5.56
September 30 2021,San Luis Obispo,CA,Passenger,1,0,1,64,65,1.54
December 31 2020,DuPage,IL,Passenger,2,1,3,56,59,5.08
January 31 2022,Rogers,OK,Passenger,1,0,1,3,4,25.00
May 31 2020,Grant,WA,Passenger,59,70,129,65199,65328,0.20
May 31 2020,King,WA,Passenger,24015,7687,31702,1374656,1406358,2.25
December 31 2021,Kittitas,WA,Passenger,207,75,282,29837,30119,0.94
December 31 2020,Stevens,WA,Truck,0,0,0,18712,18712,0.00
September 30 2019,San Joaquin,CA,Passenger,1,0,1,137,138,0.72
April 30 2017,Tarrant,TX,Passenger,0,2,2,277,279,0.72
May 31 2021,Lincoln,WA,Passenger,5,13,18,7731,7749,0.23
December 31 2021,Kern,CA,Passenger,0,1,1,201,202,0.50
October 31 2021,Suffolk,VA,Passenger,1,0,1,122,123,0.81
March 31 2023,Allen,IN,Passenger,1,0,1,16,17,5.88
January 31 2021,Moore,NC,Passenger,0,1,1,145,146,0.68
April 30 2017,Dakota,MN,Passenger,0,1,1,42,43,2.33
March 31 2020,San Diego,CA,Passenger,13,6,19,2784,2803,0.68
April 30 2022,Skamania,WA,Truck,0,0,0,3978,3978,0.00
April 30 2017,Skagit,WA,Truck,1,0,1,31395,31396,0.00
July 31 2018,Chelan,WA,Truck,0,0,0,21951,21951,0.00
November 30 2020,Whitman,WA,Passenger,51,44,95,21953,22048,0.43
September 30 2018,Travis,TX,Passenger,1,0,1,200,201,0.50
March 31 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
June 30 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
June 30 2019,Collier,FL,Passenger,1,0,1,17,18,5.56
December 31 2020,Cowlitz,WA,Passenger,177,127,304,72107,72411,0.42
March 31 2021,Miami-Dade,FL,Passenger,1,0,1,97,98,1.02
April 30 2021,Skagit,WA,Truck,1,0,1,33019,33020,0.00
March 31 2021,Arapahoe,CO,Passenger,1,0,1,123,124,0.81
July 31 2022,Arapahoe,CO,Passenger,0,1,1,87,88,1.14
November 30 2021,Richmond,GA,Passenger,0,1,1,76,77,1.30
August 31 2018,Jefferson,WA,Truck,0,0,0,9620,9620,0.00
June 30 2019,Dale,AL,Passenger,0,1,1,58,59,1.69
March 31 2023,Stafford,VA,Passenger,3,1,4,80,84,4.76
November 30 2022,Orange,FL,Passenger,1,0,1,74,75,1.33
January 31 2021,Howard,IN,Passenger,0,1,1,3,4,25.00
November 30 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
November 30 2018,Contra Costa,CA,Passenger,0,2,2,411,413,0.48
August 31 2021,Asotin,WA,Passenger,21,17,38,12722,12760,0.30
April 30 2021,Montgomery,MD,Passenger,1,0,1,235,236,0.42
April 30 2017,Franklin,OH,Passenger,0,1,1,126,127,0.79
June 30 2023,Houston,GA,Passenger,1,0,1,26,27,3.70
June 30 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
March 31 2023,Sarpy,NE,Passenger,1,0,1,54,55,1.82
June 30 2021,Meade,KY,Passenger,1,0,1,25,26,3.85
June 30 2020,Osceola,FL,Passenger,1,0,1,39,40,2.50
October 31 2022,Randolph,NC,Passenger,1,0,1,6,7,14.29
December 31 2021,Bartow,GA,Passenger,0,1,1,3,4,25.00
May 31 2022,Marion,IA,Passenger,1,0,1,0,1,100.00
June 30 2022,Kitsap,WA,Truck,4,0,4,53619,53623,0.01
October 31 2020,Island,WA,Passenger,463,285,748,62856,63604,1.18
November 30 2023,Skamania,WA,Passenger,129,52,181,7741,7922,2.28
December 31 2021,Lewis,WA,Passenger,205,164,369,59596,59965,0.62
January 31 2020,Los Angeles,CA,Passenger,7,12,19,1085,1104,1.72
March 31 2021,Alameda,CA,Passenger,4,0,4,261,265,1.51
June 30 2023,Nueces,TX,Passenger,1,1,2,49,51,3.92
January 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
June 30 2018,Yakima,WA,Passenger,60,88,148,163773,163921,0.09
May 31 2023,Grays Harbor,WA,Passenger,291,182,473,48343,48816,0.97
May 31 2021,Suffolk,VA,Passenger,1,0,1,125,126,0.79
March 31 2021,San Mateo,CA,Passenger,1,1,2,110,112,1.79
November 30 2022,Goochland,VA,Passenger,1,2,3,80,83,3.61
December 31 2018,Lane,OR,Passenger,0,1,1,173,174,0.57
January 31 2023,Montgomery,PA,Passenger,1,0,1,19,20,5.00
September 30 2020,Dallas,TX,Passenger,1,0,1,186,187,0.53
November 30 2023,Kauai,HI,Passenger,0,1,1,14,15,6.67
July 31 2021,Washington,MD,Passenger,2,0,2,13,15,13.33
August 31 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
July 31 2021,San Juan,WA,Passenger,443,139,582,14236,14818,3.93
January 31 2019,Spokane,WA,Truck,1,0,1,93928,93929,0.00
April 30 2023,Grays Harbor,WA,Truck,4,0,4,20993,20997,0.02
December 31 2018,San Juan,WA,Passenger,183,69,252,14218,14470,1.74
November 30 2021,El Paso,CO,Passenger,3,1,4,672,676,0.59
July 31 2019,Brevard,FL,Passenger,0,1,1,88,89,1.12
August 31 2019,Saginaw,MI,Passenger,1,0,1,13,14,7.14
January 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
October 31 2022,Miami-Dade,FL,Passenger,1,0,1,68,69,1.45
February 28 2023,Sarpy,NE,Passenger,1,0,1,52,53,1.89
March 31 2019,Kalamazoo,MI,Passenger,1,0,1,13,14,7.14
November 30 2019,District of Columbia,DC,Passenger,1,1,2,210,212,0.94
September 30 2023,Adams,WA,Truck,3,0,3,5275,5278,0.06
November 30 2021,Baltimore,MD,Passenger,1,0,1,87,88,1.14
January 31 2023,Garfield,WA,Passenger,1,3,4,1314,1318,0.30
January 31 2017,Cumberland,NC,Passenger,1,0,1,641,642,0.16
April 30 2021,Anchorage,AK,Passenger,1,0,1,149,150,0.67
September 30 2017,Tulare,CA,Passenger,1,0,1,197,198,0.51
February 28 2019,Spartanburg,SC,Passenger,0,1,1,35,36,2.78
May 31 2021,Henrico,VA,Passenger,0,1,1,16,17,5.88
September 30 2023,Monterey,CA,Truck,1,0,1,26,27,3.70
December 31 2022,Kitsap,WA,Passenger,2765,1146,3911,177076,180987,2.16
October 31 2020,Clark,WA,Truck,0,0,0,83147,83147,0.00
August 31 2021,Walla Walla,WA,Truck,0,0,0,14078,14078,0.00
January 31 2018,Klickitat,WA,Passenger,24,26,50,14932,14982,0.33
July 31 2022,Garfield,WA,Truck,0,0,0,974,974,0.00
July 31 2019,Marion,OR,Passenger,1,0,1,122,123,0.81
July 31 2018,Douglas,NE,Passenger,0,1,1,72,73,1.37
April 30 2020,Hawaii,HI,Passenger,1,0,1,58,59,1.69
December 31 2021,Lane,OR,Passenger,0,2,2,116,118,1.69
July 31 2019,Dallas,TX,Passenger,1,0,1,209,210,0.48
August 31 2022,Albemarle,VA,Passenger,2,0,2,18,20,10.00
December 31 2019,Shelby,OH,Passenger,0,1,1,1,2,50.00
August 31 2022,Placer,CA,Passenger,2,0,2,68,70,2.86
January 31 2023,Chelan,WA,Truck,15,0,15,23110,23125,0.06
February 28 2022,Anne Arundel,MD,Passenger,4,1,5,367,372,1.34
August 31 2022,Virginia Beach,VA,Passenger,3,1,4,509,513,0.78
January 31 2017,New Haven,CT,Passenger,0,1,1,65,66,1.52
November 30 2022,Frederick,MD,Passenger,1,0,1,63,64,1.56
August 31 2017,Missoula,MT,Passenger,1,0,1,70,71,1.41
February 28 2021,Sarasota,FL,Passenger,2,0,2,27,29,6.90
October 31 2023,Camden,NJ,Passenger,0,1,1,11,12,8.33
December 31 2022,Mercer,NJ,Passenger,0,1,1,12,13,7.69
May 31 2017,Kitsap,WA,Passenger,595,302,897,172840,173737,0.52
April 30 2018,King,WA,Truck,7,1,8,183332,183340,0.00
July 31 2019,Orange,CA,Passenger,6,1,7,545,552,1.27
February 28 2023,Whitman,WA,Passenger,124,71,195,22021,22216,0.88
November 30 2017,Latah,ID,Passenger,0,1,1,79,80,1.25
August 31 2022,Garfield,WA,Passenger,1,3,4,1316,1320,0.30
February 28 2019,Norfolk,MA,Passenger,1,0,1,35,36,2.78
January 31 2023,Placer,CA,Passenger,2,0,2,61,63,3.17
September 30 2023,Hamilton,OH,Truck,1,0,1,3,4,25.00
July 31 2018,DeKalb,IN,Passenger,1,0,1,1,2,50.00
December 31 2022,Yakima,WA,Passenger,425,218,643,166388,167031,0.38
May 31 2021,Adams,WA,Truck,0,0,0,5374,5374,0.00
March 31 2019,St. Mary's,MD,Passenger,1,0,1,215,216,0.46
June 30 2018,Asotin,WA,Passenger,9,6,15,12600,12615,0.12
May 31 2020,Pinal,AZ,Passenger,1,0,1,189,190,0.53
May 31 2017,Franklin,OH,Passenger,0,1,1,123,124,0.81
November 30 2019,Spartanburg,SC,Passenger,0,1,1,45,46,2.17
December 31 2018,Larimer,CO,Passenger,1,0,1,60,61,1.64
September 30 2019,Shelby,OH,Passenger,0,1,1,1,2,50.00
June 30 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
November 30 2019,Whatcom,WA,Passenger,964,470,1434,151557,152991,0.94
March 31 2022,Tarrant,TX,Passenger,1,0,1,135,136,0.74
August 31 2018,Whatcom,WA,Truck,2,0,2,42394,42396,0.00
October 31 2017,Maricopa,AZ,Passenger,2,1,3,1659,1662,0.18
January 31 2018,Garfield,WA,Truck,0,0,0,944,944,0.00
July 31 2017,Nassau,NY,Passenger,1,1,2,39,41,4.88
January 31 2023,Ulster,NY,Passenger,1,0,1,7,8,12.50
April 30 2019,Collier,FL,Passenger,1,0,1,18,19,5.26
September 30 2019,Kern,CA,Passenger,0,1,1,216,217,0.46
June 30 2020,Cowlitz,WA,Truck,0,0,0,28864,28864,0.00
September 30 2018,Island,WA,Truck,0,0,0,21089,21089,0.00
January 31 2017,Whitman,WA,Truck,0,0,0,8404,8404,0.00
March 31 2020,New London,CT,Passenger,1,2,3,243,246,1.22
October 31 2023,Asotin,WA,Passenger,41,25,66,12140,12206,0.54
May 31 2019,Thurston,WA,Truck,0,0,0,55084,55084,0.00
December 31 2020,Douglas,WA,Passenger,86,44,130,28191,28321,0.46
April 30 2022,Leavenworth,KS,Passenger,0,1,1,107,108,0.93
April 30 2020,Shelby,TN,Passenger,0,1,1,92,93,1.08
October 31 2022,Sonoma,CA,Passenger,1,1,2,78,80,2.50
July 31 2018,Nassau,NY,Passenger,2,0,2,39,41,4.88
November 30 2022,Richmond,NY,Passenger,1,0,1,4,5,20.00
March 31 2021,Wichita,TX,Passenger,1,0,1,41,42,2.38
October 31 2019,Calvert,MD,Passenger,0,2,2,90,92,2.17
June 30 2022,Washington,MD,Passenger,2,0,2,15,17,11.76
July 31 2022,Walla Walla,WA,Passenger,175,98,273,35824,36097,0.76
March 31 2021,Loudoun,VA,Passenger,1,0,1,70,71,1.41
May 31 2017,Dallas,TX,Passenger,0,1,1,189,190,0.53
June 30 2020,Jefferson,CO,Passenger,0,1,1,61,62,1.61
October 31 2017,Queens,NY,Passenger,1,0,1,62,63,1.59
March 31 2023,Boulder,CO,Passenger,2,0,2,37,39,5.13
April 30 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
April 30 2020,Mason,WA,Truck,0,0,0,20529,20529,0.00
April 30 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
August 31 2021,Clark,WA,Passenger,3072,1472,4544,321996,326540,1.39
February 28 2019,Skagit,WA,Truck,1,0,1,32287,32288,0.00
August 31 2017,Whitman,WA,Truck,0,0,0,8453,8453,0.00
June 30 2021,Thurston,WA,Passenger,1584,872,2456,197981,200437,1.23
October 31 2019,Stafford,VA,Passenger,1,1,2,95,97,2.06
December 31 2019,Oldham,KY,Passenger,0,1,1,4,5,20.00
September 30 2019,Monroe,IL,Passenger,1,0,1,4,5,20.00
January 31 2018,Santa Clara,CA,Passenger,7,1,8,394,402,1.99
July 31 2018,Allegheny,PA,Passenger,1,0,1,81,82,1.22
March 31 2020,Grant,WA,Truck,0,0,0,27053,27053,0.00
November 30 2022,Whitman,WA,Truck,3,0,3,8620,8623,0.03
August 31 2017,Asotin,WA,Passenger,8,5,13,12441,12454,0.10
April 30 2019,Pima,AZ,Passenger,1,1,2,415,417,0.48
July 31 2021,Chelan,WA,Truck,0,0,0,23101,23101,0.00
February 28 2022,Thurston,WA,Truck,3,0,3,55813,55816,0.01
March 31 2017,Cowlitz,WA,Truck,0,0,0,27904,27904,0.00
September 30 2018,Middlesex,MA,Passenger,0,1,1,140,141,0.71
May 31 2022,Allen,IN,Passenger,1,0,1,18,19,5.26
April 30 2023,Hamilton,OH,Truck,1,0,1,3,4,25.00
March 31 2020,Franklin,WA,Truck,0,0,0,19898,19898,0.00
July 31 2019,Skamania,WA,Passenger,25,18,43,8735,8778,0.49
July 31 2023,Ferry,WA,Truck,0,0,0,3574,3574,0.00
July 31 2023,San Juan,WA,Truck,15,0,15,5906,5921,0.25
October 31 2021,Williamson,TX,Passenger,1,2,3,102,105,2.86
June 30 2022,Orange,FL,Passenger,2,0,2,91,93,2.15
August 31 2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
March 31 2017,Orange,FL,Passenger,1,1,2,151,153,1.31
November 30 2017,Dale,AL,Passenger,0,1,1,63,64,1.56
June 30 2023,San Joaquin,CA,Passenger,0,1,1,73,74,1.35
July 31 2023,Bexar,TX,Passenger,2,3,5,348,353,1.42
November 30 2019,Norfolk,MA,Passenger,1,0,1,36,37,2.70
February 29 2020,DuPage,IL,Passenger,3,0,3,64,67,4.48
November 30 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
October 31 2022,Lincoln,OR,Passenger,0,1,1,19,20,5.00
December 31 2022,Boulder,CO,Passenger,2,0,2,40,42,4.76
October 31 2023,El Paso,CO,Passenger,4,2,6,426,432,1.39
July 31 2021,Anne Arundel,MD,Passenger,4,1,5,391,396,1.26
September 30 2020,Harris,TX,Passenger,1,0,1,234,235,0.43
October 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
July 31 2020,Jefferson,NY,Passenger,0,1,1,208,209,0.48
June 30 2019,Guadalupe,TX,Passenger,1,0,1,76,77,1.30
September 30 2019,Osceola,FL,Passenger,1,0,1,41,42,2.38
December 31 2022,Bartow,GA,Passenger,0,1,1,3,4,25.00
February 28 2023,Spokane,WA,Passenger,2040,983,3023,323927,326950,0.92
December 31 2020,Franklin,WA,Passenger,85,83,168,61355,61523,0.27
December 31 2022,Skamania,WA,Passenger,89,52,141,8114,8255,1.71
April 30 2017,Orange,FL,Passenger,1,1,2,148,150,1.33
May 31 2022,Harford,MD,Passenger,1,1,2,52,54,3.70
December 31 2021,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
December 31 2020,Lake,FL,Passenger,1,0,1,22,23,4.35
December 31 2022,Spokane,WA,Passenger,1939,932,2871,324341,327212,0.88
June 30 2017,Pend Oreille,WA,Passenger,3,4,7,9316,9323,0.08
September 30 2022,Pierce,WA,Truck,46,0,46,140386,140432,0.03
February 28 2019,Pierce,WA,Passenger,1611,1428,3039,538827,541866,0.56
April 30 2020,Columbia,WA,Passenger,3,3,6,2408,2414,0.25
June 30 2017,Norfolk,VA,Passenger,1,1,2,318,320,0.62
February 29 2020,Richmond,GA,Passenger,0,1,1,90,91,1.10
March 31 2023,Kern,CA,Passenger,1,1,2,187,189,1.06
June 30 2017,Wahkiakum,WA,Passenger,0,2,2,2832,2834,0.07
May 31 2018,San Francisco,CA,Passenger,0,1,1,131,132,0.76
April 30 2020,Denton,TX,Passenger,1,0,1,93,94,1.06
June 30 2023,Lee,AL,Passenger,1,0,1,15,16,6.25
August 31 2021,Maui,HI,Passenger,1,0,1,27,28,3.57
May 31 2017,Thurston,WA,Passenger,390,334,724,186036,186760,0.39
August 31 2017,Grays Harbor,WA,Passenger,37,37,74,44961,45035,0.16
April 30 2017,Clark,NV,Passenger,1,3,4,862,866,0.46
November 30 2019,Orange,CA,Passenger,7,2,9,530,539,1.67
April 30 2019,Grant,WA,Truck,0,0,0,26429,26429,0.00
January 31 2020,Prince William,VA,Passenger,2,3,5,235,240,2.08
May 31 2021,Yakima,WA,Truck,0,0,0,61673,61673,0.00
May 31 2019,Allegheny,PA,Passenger,1,0,1,87,88,1.14
July 31 2019,Polk,FL,Passenger,1,0,1,67,68,1.47
December 31 2020,Penobscot,ME,Passenger,0,1,1,10,11,9.09
June 30 2023,Larimer,CO,Passenger,1,0,1,31,32,3.12
August 31 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
June 30 2017,Jefferson,WA,Passenger,104,61,165,23849,24014,0.69
May 31 2017,Mason,WA,Truck,0,0,0,19263,19263,0.00
April 30 2019,Goochland,VA,Passenger,1,1,2,252,254,0.79
June 30 2022,San Joaquin,CA,Passenger,1,1,2,93,95,2.11
December 31 2018,Pacific,WA,Truck,0,0,0,7610,7610,0.00
December 31 2017,Walla Walla,WA,Truck,0,0,0,13292,13292,0.00
August 31 2018,Adams,WA,Truck,0,0,0,5174,5174,0.00
January 31 2020,Lake,IL,Passenger,1,0,1,168,169,0.59
October 31 2018,Klamath,OR,Passenger,1,0,1,35,36,2.78
October 31 2022,Washington,MD,Passenger,2,0,2,14,16,12.50
September 30 2019,Guadalupe,TX,Passenger,1,0,1,73,74,1.35
December 31 2020,Kauai,HI,Passenger,1,0,1,17,18,5.56
October 31 2022,Carroll,MD,Passenger,0,1,1,19,20,5.00
March 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
September 30 2023,Portsmouth,VA,Passenger,0,1,1,65,66,1.52
June 30 2023,Pacific,WA,Passenger,77,91,168,15605,15773,1.07
October 31 2021,Adams,WA,Truck,0,0,0,5408,5408,0.00
August 31 2018,Garfield,WA,Truck,0,0,0,955,955,0.00
November 30 2017,Whatcom,WA,Truck,1,0,1,41927,41928,0.00
November 30 2023,Maricopa,AZ,Passenger,6,2,8,517,525,1.52
April 30 2020,Lake,FL,Passenger,1,0,1,21,22,4.55
December 31 2020,Kern,CA,Passenger,0,1,1,216,217,0.46
March 31 2020,Placer,CA,Passenger,2,0,2,99,101,1.98
June 30 2022,Douglas,WA,Passenger,131,58,189,28489,28678,0.66
September 30 2021,Lincoln,WA,Passenger,7,16,23,7679,7702,0.30
August 31 2020,Lincoln,WA,Truck,0,0,0,4649,4649,0.00
June 30 2023,Pierce,WA,Truck,164,0,164,137025,137189,0.12
November 30 2019,Kern,CA,Passenger,0,1,1,221,222,0.45
November 30 2022,Saratoga,NY,Passenger,1,0,1,39,40,2.50
January 31 2018,Whitman,WA,Truck,0,0,0,8474,8474,0.00
August 31 2023,Hamilton,OH,Passenger,1,0,1,29,30,3.33
December 31 2022,Whitman,WA,Passenger,110,67,177,21943,22120,0.80
July 31 2023,King,WA,Truck,783,2,785,174427,175212,0.45
November 30 2020,Denton,TX,Passenger,1,0,1,87,88,1.14
October 31 2022,Jefferson,WA,Truck,5,0,5,9391,9396,0.05
October 31 2021,Skagit,WA,Truck,1,0,1,32826,32827,0.00
October 31 2022,Bexar,TX,Passenger,5,3,8,422,430,1.86
September 30 2021,Okanogan,WA,Passenger,67,44,111,26535,26646,0.42
July 31 2020,Montgomery,OH,Passenger,0,1,1,49,50,2.00
November 30 2022,Stafford,VA,Passenger,3,1,4,85,89,4.49
February 28 2023,Lee,FL,Passenger,1,0,1,31,32,3.12
November 30 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
March 31 2022,Powhatan,VA,Passenger,1,0,1,1,2,50.00
February 28 2017,Spokane,WA,Truck,1,0,1,90233,90234,0.00
March 31 2018,Kittitas,WA,Truck,0,0,0,13985,13985,0.00
November 30 2018,Clallam,WA,Truck,0,0,0,21612,21612,0.00
August 31 2019,Jefferson,WA,Passenger,205,122,327,25069,25396,1.29
May 31 2017,Montgomery,MD,Passenger,1,0,1,308,309,0.32
December 31 2021,District of Columbia,DC,Passenger,5,0,5,189,194,2.58
February 28 2023,Richland,SC,Passenger,0,1,1,106,107,0.93
July 31 2020,San Francisco,CA,Passenger,2,1,3,95,98,3.06
September 30 2022,Arlington,VA,Passenger,1,0,1,122,123,0.81
July 31 2017,Kitsap,WA,Passenger,622,324,946,173380,174326,0.54
September 30 2020,Pacific,WA,Passenger,32,34,66,15711,15777,0.42
February 28 2021,Cowlitz,WA,Passenger,194,130,324,71926,72250,0.45
June 30 2018,Lewis,WA,Truck,0,0,0,25479,25479,0.00
September 30 2018,Washoe,NV,Passenger,1,0,1,116,117,0.85
January 31 2017,Maricopa,AZ,Passenger,3,1,4,1998,2002,0.20
May 31 2022,Denton,TX,Passenger,1,0,1,64,65,1.54
March 31 2018,Canyon,ID,Passenger,0,1,1,95,96,1.04
August 31 2022,Washington,MD,Passenger,2,0,2,15,17,11.76
October 31 2022,Rock Island,IL,Passenger,0,1,1,12,13,7.69
June 30 2023,Maui,HI,Passenger,1,0,1,20,21,4.76
August 31 2019,Mason,WA,Passenger,130,127,257,47419,47676,0.54
June 30 2023,Hillsborough,FL,Passenger,1,2,3,96,99,3.03
May 31 2022,Lake,FL,Passenger,1,0,1,19,20,5.00
October 31 2023,Grays Harbor,WA,Truck,9,0,9,20502,20511,0.04
August 31 2019,Wahkiakum,WA,Passenger,2,2,4,3026,3030,0.13
November 30 2021,Cowlitz,WA,Truck,0,1,1,29019,29020,0.00
July 31 2017,Honolulu,HI,Passenger,3,2,5,578,583,0.86
October 31 2022,Lane,OR,Passenger,0,2,2,87,89,2.25
May 31 2017,Missoula,MT,Passenger,1,0,1,74,75,1.33
May 31 2020,Franklin,WA,Truck,0,0,0,19864,19864,0.00
March 31 2018,Grays Harbor,WA,Passenger,45,46,91,46088,46179,0.20
December 31 2018,Richland,SC,Passenger,0,1,1,163,164,0.61
December 31 2018,Franklin,WA,Truck,0,0,0,19052,19052,0.00
November 30 2019,Chelan,WA,Passenger,196,75,271,54637,54908,0.49
May 31 2022,Orange,FL,Passenger,2,0,2,95,97,2.06
June 30 2022,Washtenaw,MI,Passenger,0,1,1,27,28,3.57
April 30 2019,Sangamon,IL,Passenger,2,0,2,7,9,22.22
January 31 2021,Eagle,CO,Passenger,1,0,1,9,10,10.00
February 28 2022,Spokane,WA,Truck,0,0,0,102556,102556,0.00
March 31 2017,Pacific,WA,Truck,0,0,0,7479,7479,0.00
December 31 2018,Cook,IL,Passenger,1,0,1,254,255,0.39
August 31 2020,Fulton,GA,Passenger,1,2,3,98,101,2.97
February 28 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
May 31 2019,Carroll,NH,Passenger,0,1,1,3,4,25.00
June 30 2023,Henrico,VA,Passenger,0,1,1,5,6,16.67
September 30 2021,Suffolk,MA,Passenger,0,2,2,29,31,6.45
February 28 2019,San Juan,PR,Passenger,0,1,1,3,4,25.00
March 31 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
August 31 2022,Bell,TX,Passenger,1,0,1,316,317,0.32
November 30 2018,Skamania,WA,Truck,0,0,0,4005,4005,0.00
December 31 2019,Mason,WA,Truck,0,0,0,20525,20525,0.00
August 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
December 31 2022,Richland,SC,Passenger,0,1,1,113,114,0.88
March 31 2023,Denton,TX,Passenger,1,0,1,47,48,2.08
April 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
September 30 2022,Richmond,GA,Passenger,0,1,1,64,65,1.54
August 31 2020,Cowlitz,WA,Passenger,152,120,272,72122,72394,0.38
July 31 2023,Alameda,CA,Passenger,4,0,4,158,162,2.47
April 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
October 31 2021,Klamath,OR,Passenger,1,0,1,31,32,3.12
June 30 2018,Maricopa,AZ,Passenger,2,2,4,1618,1622,0.25
April 30 2019,Charles,MD,Passenger,0,1,1,84,85,1.18
June 30 2022,Nueces,TX,Passenger,1,1,2,54,56,3.57
September 30 2018,Manatee,FL,Passenger,1,0,1,39,40,2.50
May 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
September 30 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
January 31 2021,Cowlitz,WA,Passenger,188,129,317,72152,72469,0.44
November 30 2021,Onslow,NC,Passenger,0,1,1,175,176,0.57
December 31 2020,Mason,WA,Truck,0,0,0,20942,20942,0.00
September 30 2022,Pend Oreille,WA,Truck,0,0,0,5636,5636,0.00
April 30 2017,Lincoln,WA,Passenger,2,4,6,7481,7487,0.08
September 30 2018,Richmond,GA,Passenger,0,1,1,94,95,1.05
September 30 2022,Calvert,MD,Passenger,0,2,2,75,77,2.60
April 30 2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44
August 31 2021,Harford,MD,Passenger,0,1,1,55,56,1.79
June 30 2022,Boulder,CO,Passenger,2,0,2,43,45,4.44
December 31 2021,Pacific,WA,Truck,0,0,0,8017,8017,0.00
March 31 2023,Klickitat,WA,Passenger,133,59,192,15183,15375,1.25
April 30 2019,Prince William,VA,Passenger,1,4,5,257,262,1.91
April 30 2020,Okanogan,WA,Truck,0,0,0,16382,16382,0.00
September 30 2020,Palm Beach,FL,Passenger,0,1,1,77,78,1.28
October 31 2022,Fulton,GA,Passenger,1,0,1,62,63,1.59
August 31 2020,Charleston,SC,Passenger,2,0,2,101,103,1.94
July 31 2021,Maui,HI,Passenger,1,0,1,29,30,3.33
April 30 2023,King,WA,Passenger,53876,13766,67642,1322301,1389943,4.87
July 31 2022,Skagit,WA,Truck,5,0,5,32285,32290,0.02
January 31 2021,Asotin,WA,Passenger,16,13,29,12435,12464,0.23
September 30 2021,Klamath,OR,Passenger,1,0,1,31,32,3.12
July 31 2023,Frederick,MD,Passenger,1,1,2,51,53,3.77
December 31 2022,Kootenai,ID,Truck,1,0,1,30,31,3.23
August 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
January 31 2019,Pacific,WA,Truck,0,0,0,7612,7612,0.00
May 31 2017,Snohomish,WA,Passenger,1739,866,2605,512584,515189,0.51
July 31 2020,Norfolk,VA,Passenger,2,2,4,349,353,1.13
June 30 2022,Adams,WA,Passenger,17,10,27,12924,12951,0.21
September 30 2018,Lane,OR,Passenger,0,1,1,180,181,0.55
January 31 2020,Manassas,VA,Passenger,0,1,1,7,8,12.50
