Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2022,Douglas,NE,Passenger,1,2,3,50,53,5.66
November 30 2023,Chelan,WA,Passenger,709,205,914,52540,53454,1.71
January 31 2018,Pacific,WA,Passenger,15,13,28,15449,15477,0.18
July 31 2023,Kitsap,WA,Truck,81,0,81,52075,52156,0.16
January 31 2023,Jefferson,NY,Passenger,2,1,3,192,195,1.54
November 30 2019,Lake,IL,Passenger,1,0,1,173,174,0.57
January 31 2023,Fairbanks North Star,AK,Passenger,0,1,1,61,62,1.61
October 31 2023,Miami-Dade,FL,Passenger,1,0,1,46,47,2.13
February 28 2022,Lee,FL,Passenger,1,0,1,34,35,2.86
January 31 2018,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
April 30 2017,Skagit,WA,Passenger,123,97,220,87594,87814,0.25
May 31 2022,Chelan,WA,Truck,2,0,2,23063,23065,0.01
February 28 2017,,,Passenger,2,0,2,464,466,0.43
February 28 2022,Richmond,GA,Passenger,0,1,1,73,74,1.35
May 31 2023,Lee,AL,Passenger,1,0,1,15,16,6.25
February 28 2019,Caddo,LA,Passenger,0,1,1,23,24,4.17
March 31 2020,Boulder,CO,Passenger,1,1,2,50,52,3.85
February 28 2019,Rogers,OK,Passenger,1,0,1,4,5,20.00
September 30 2017,St. Lucie,FL,Passenger,1,0,1,27,28,3.57
September 30 2020,Adams,WA,Passenger,8,7,15,12914,12929,0.12
July 31 2017,Pierce,WA,Truck,0,0,0,137361,137361,0.00
August 31 2018,Walla Walla,WA,Passenger,34,48,82,35871,35953,0.23
March 31 2021,Pima,AZ,Passenger,2,1,3,322,325,0.92
October 31 2018,Moore,NC,Passenger,0,1,1,196,197,0.51
July 31 2021,Monterey,CA,Passenger,0,2,2,145,147,1.36
March 31 2019,Larimer,CO,Passenger,1,0,1,58,59,1.69
March 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
April 30 2020,Skamania,WA,Truck,0,0,0,4053,4053,0.00
June 30 2018,Skamania,WA,Passenger,11,9,20,8660,8680,0.23
October 31 2022,Pierce,WA,Truck,62,0,62,140131,140193,0.04
February 28 2017,Franklin,OH,Passenger,0,1,1,116,117,0.85
September 30 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
September 30 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
March 31 2023,Hoke,NC,Passenger,1,0,1,65,66,1.52
February 28 2022,Okaloosa,FL,Passenger,0,1,1,111,112,0.89
November 30 2021,Portsmouth,VA,Passenger,0,1,1,85,86,1.16
